settlement_id,name,lon,lat,district,division,pop_2km,n_schools_3km,n_clinics_3km,rwi,elevation_m,seasonal_water_px,flood_prone,place,dl_mbps,split,evidence_tier_REFERENCE_ONLY
S0104,Kampung Palakat,115.557134,5.117332,Sipitang,Interior,541,0,0,0.901,20.0,117,True,village,69.132,train,measured
S0105,Mentalik,115.9693573,5.0730539,Tenom,Interior,455,0,0,0.19225,188.0,79,True,town,42.222,train,measured
S0107,Kampung Lingkungan,115.6362248,5.2010737,Beaufort,Interior,220,0,0,0.154,20.0,0,False,village,73.569,train,measured
S0109,Kampung Malana,115.6429305,5.1247727,Sipitang,Interior,192,0,0,0.299,26.0,4,False,village,78.3625,train,measured
S0111,Kampung Paal,115.9059101,5.0186735,Tenom,Interior,1260,0,1,-0.374,231.0,0,False,village,58.644,train,measured
S0113,Kampung Gadong,115.6085704,5.3493525,Beaufort,Interior,1627,0,0,0.359,14.0,170,True,village,22.896,train,measured
S0114,Sook,116.289617,5.1423979,Keningau,Interior,2119,0,1,-0.17166666666666666,355.0,2,False,town,37.442,train,measured
S0115,Kampung Laboi,115.6539176,5.2330561,Beaufort,Interior,823,0,0,0.067,27.0,0,False,village,41.3065,train,measured
S0116,Nabawan,116.4258286,5.0397345,Nabawan,Interior,14132,2,1,0.143,462.0,0,False,town,60.082,train,measured
S0117,Weston,115.6057549,5.2125971,Beaufort,Interior,876,0,0,0.708,6.0,56,True,town,66.649,validate,low_evidence
S0118,Kampung Lobou,116.430182,5.0539935,Nabawan,Interior,11267,2,1,0.022,605.0,0,False,village,64.85,train,measured
S0119,Kampung Padas Damit,115.563127,5.3315352,Beaufort,Interior,722,0,0,0.044,17.0,0,False,village,48.824,train,measured
S0121,Kampung Agis,116.4509623,4.5985524,Nabawan,Interior,217,1,0,,152.0,76,True,hamlet,0.359,validate,low_evidence
S0124,Maligan,115.7073142,4.6792068,Sipitang,Interior,45,0,0,-0.3455,607.0,11,True,village,42.14,validate,low_evidence
S0125,Labiron,115.7376574,4.6710384,Sipitang,Interior,76,0,0,-0.545,581.0,1,False,village,80.366,validate,low_evidence
S0126,Paitan,117.3972184,6.4068083,Beluran,Sandakan,362,1,0,-0.16233333333333333,11.0,63,True,town,51.1225,train,measured
S0130,Balaron,116.4422487,4.7181021,Nabawan,Interior,546,0,0,,286.0,59,True,village,111.298,validate,low_evidence
S0131,Menggatal,116.1580498,6.0301847,KotaKinabalu,West Coast,43833,1,0,1.1395,14.0,7,True,town,165.457,train,measured
S0132,Kampung Kiulu,116.2835896,6.0508758,Tuaran,West Coast,1127,0,0,0.03075,187.0,28,True,village,25.944,train,measured
S0133,Kampung Kamarin,116.3122994,5.9920618,Tuaran,West Coast,405,0,0,0.1005,170.0,5,True,village,83.3665,validate,low_evidence
S0134,Kionsom,116.1813025,5.9647408,KotaKinabalu,West Coast,3868,0,0,0.513,198.0,0,False,village,76.955,train,measured
S0135,Kampung Wangkang,115.5361321,5.5142364,KualaPenyu,Interior,568,1,0,0.11233333333333334,28.0,0,False,village,33.535,train,measured
S0137,Kampung Dudar,116.5675257,6.59418,KotaBelud,West Coast,319,0,1,0.25633333333333336,15.0,0,False,village,61.428,validate,low_evidence
S0138,Surusop,116.2403592,6.2478396,Tuaran,West Coast,2784,0,0,-0.22633333333333336,4.0,51,True,village,182.105,train,measured
S0139,Kampung Bolong,116.192204,6.2031481,Tuaran,West Coast,6513,0,0,0.5246666666666666,13.0,49,True,village,117.739,train,measured
S0140,Tuaran,116.2328137,6.1762851,Tuaran,West Coast,10485,9,1,0.6533333333333333,15.0,86,True,town,168.913,train,measured
S0141,Kampung Berungis,116.2214943,6.1511982,Tuaran,West Coast,13214,7,3,0.867,11.0,0,False,village,185.632,train,measured
S0145,Kg. Saguan,116.8381955,5.2551994,Tongod,Sandakan,272,0,0,-0.345,65.0,0,False,village,272.083,validate,low_evidence
S0149,Kampung Bangsai,115.5327708,5.4716727,KualaPenyu,Interior,2226,0,0,0.182,17.0,16,True,village,21.6925,train,measured
S0150,Kalugus,115.4466707,5.4206631,KualaPenyu,Interior,274,0,0,-0.1535,37.0,0,False,town,12.521,train,measured
S0151,Kampung Kuala Karamuak,117.2104656,5.2870807,Tongod,Sandakan,533,0,0,-0.256,49.0,78,True,village,25.3025,validate,low_evidence
S0152,Beaufort,115.7430094,5.3470611,Beaufort,Interior,11328,10,4,0.6766666666666667,14.0,67,True,town,102.916,train,measured
S0153,Tenom,115.941709,5.1213163,Tenom,Interior,11127,7,2,0.7623333333333333,181.0,32,True,town,44.436,train,measured
S0154,Keningau,116.1523241,5.3316751,Keningau,Interior,25763,12,1,0.64375,279.0,8,True,city,174.0235,train,measured
S0155,Tambunan,116.3655408,5.6688001,Tambunan,Interior,8245,5,2,0.9615,562.0,4,False,town,44.162,train,measured
S0156,Papar,115.9320971,5.7330227,Papar,West Coast,14514,14,1,1.1513333333333333,8.0,108,True,town,145.484,train,measured
S0157,Sungai Sungai,117.3697621,6.2510893,Beluran,Sandakan,106,1,0,0.04,17.0,128,True,village,19.5155,validate,low_evidence
S0158,Sipitang,115.5494493,5.0763734,Sipitang,Interior,4159,1,1,0.568,8.0,63,True,town,90.916,train,measured
S0159,Kampung Mempakul,115.3584871,5.2967088,KualaPenyu,Interior,2340,0,0,0.4315,16.0,53,True,village,33.5005,train,measured
S0160,Kuala Penyu,115.6008534,5.5675507,KualaPenyu,Interior,3204,0,0,0.734,11.0,144,True,town,36.001,train,measured
S0162,Sapulut,116.4807819,4.7053675,Nabawan,Interior,624,0,0,-0.10666666666666665,312.0,52,True,village,20.0265,validate,low_evidence
S0164,Pinangah,116.8352431,5.2113004,Tongod,Sandakan,1336,0,0,-0.092,68.0,100,True,village,32.637,train,measured
S0165,Kudat,116.8494435,6.8824598,Kudat,Kudat,31537,8,0,0.774,10.0,49,True,city,147.232,train,measured
S0166,Kanibongan,117.2077305,6.661511,Pitas,Kudat,1426,0,0,-0.3246666666666667,16.0,0,False,village,33.5495,train,measured
S0168,Ranau,116.6662881,5.9511437,Ranau,West Coast,17657,7,3,0.736,543.0,0,False,town,81.871,train,measured
S0169,Kota Belud,116.4292891,6.3497629,KotaBelud,West Coast,15322,10,6,1.1153333333333333,19.0,2,False,town,131.656,train,measured
S0170,Donggongon,116.0890694,5.906508,Penampang,West Coast,42897,3,4,0.9036666666666666,15.0,3,False,town,230.705,train,measured
S0171,Pitas,117.054365,6.7303182,Pitas,Kudat,11078,0,0,0.42925,10.0,43,True,town,42.092,train,measured
S0172,Matunggong,116.7225425,6.7151333,Kudat,Kudat,909,0,0,0.106,30.0,0,False,town,22.479,train,measured
S0173,Kota Marudu,116.7617535,6.4951419,KotaMarudu,Kudat,16822,3,0,0.43025,13.0,0,False,town,115.304,train,measured
S0174,Tawau,117.885331,4.2435206,Tawau,Tawau,40114,7,4,1.093,16.0,165,True,city,205.814,train,measured
S0175,Sandakan,118.1158598,5.8391274,Sandakan,Sandakan,25562,12,3,1.337,8.0,61,True,city,220.974,train,measured
S0176,Semporna,118.6118806,4.4790651,Semporna,Tawau,41050,3,2,0.986,10.0,513,True,town,128.873,train,measured
S0177,Lahad Datu,118.3275533,5.0215726,LahadDatu,Tawau,27807,6,4,1.1026666666666667,4.0,178,True,town,179.325,train,measured
S0178,Kampung Betotai,116.2825212,6.2383709,Tuaran,West Coast,828,0,0,-0.476,9.0,95,True,village,63.5045,validate,low_evidence
S0179,Kg. Kelawat,116.3743229,6.3240036,KotaBelud,West Coast,756,1,0,-0.11833333333333333,87.0,150,True,village,53.1925,train,measured
S0180,Kampung Tembayang,115.3863577,5.3947301,KualaPenyu,Interior,557,0,0,-0.11366666666666665,20.0,8,True,village,64.6085,validate,low_evidence
S0181,Kampung Kuala Sapi,117.4379987,5.8241814,Beluran,Sandakan,784,0,0,-0.555,10.0,87,True,village,28.704,train,measured
S0182,Kampung Bilit,118.2079604,5.4999089,Kinabatangan,Sandakan,561,0,0,-0.22233333333333336,27.0,86,True,hamlet,42.174,train,measured
S0183,Sukau,118.2869938,5.5097346,Kinabatangan,Sandakan,248,1,1,0.09666666666666668,16.0,60,True,village,25.876,train,measured
S0184,Kundasang,116.5744809,5.9857273,Ranau,West Coast,10147,0,1,0.916,1280.0,0,False,town,26.026,train,measured
S0185,Pekan Nabalu,116.4629369,6.0282512,Tuaran,West Coast,657,0,1,-0.109,1011.0,0,False,town,32.747,train,measured
S0186,Kampung Kabatu,115.6876589,5.3968433,Beaufort,Interior,2300,0,0,0.0355,14.0,5,True,village,48.509,train,measured
S0187,Kampung Kabidang,115.6848433,5.4023466,Beaufort,Interior,2406,0,0,0.0355,10.0,0,False,village,47.935,train,measured
S0188,Kampung Klias Kecil,115.6382102,5.44141,Beaufort,Interior,1010,0,0,-0.0475,10.0,7,True,village,53.425,train,measured
S0189,Kampung Melabu,115.6640257,5.4223745,Beaufort,Interior,1762,0,0,-0.036,21.0,0,False,village,47.361,train,measured
S0190,Kg. Nukahan,115.5891481,5.4619507,Beaufort,Interior,1190,0,0,-0.364,6.0,0,False,village,133.1085,train,measured
S0191,Kampung Takuli,115.6768857,5.4164768,Beaufort,Interior,2053,0,0,-0.079,14.0,0,False,village,49.007,train,measured
S0192,Kampung Kiau Nuluh,116.4962608,6.0467225,KotaBelud,West Coast,453,0,0,-0.041,981.0,0,False,village,55.622,validate,low_evidence
S0193,Kampung Berhala Darat,118.1307628,5.8502094,Sandakan,Sandakan,20059,8,1,1.337,1.0,191,True,village,244.315,train,measured
S0194,Kampung Air Sim Sim,118.1288334,5.857127,Sandakan,Sandakan,25398,9,3,1.308,1.0,193,True,village,244.315,train,measured
S0195,Kampung Batu Putih,118.0377354,5.9145208,Sandakan,Sandakan,6810,1,0,0.2776666666666667,6.0,124,True,hamlet,172.761,train,measured
S0196,Kampung Sentosa,118.014302,5.9479941,Sandakan,Sandakan,939,0,0,0.2285,11.0,0,False,hamlet,90.946,train,measured
S0197,Kg. Tinusa 2,118.091217,5.8883739,Sandakan,Sandakan,17790,4,0,1.0933333333333335,0.0,268,True,village,124.872,train,measured
S0198,Kampung Botol,118.1058852,5.8519963,Sandakan,Sandakan,57596,16,4,1.12125,37.0,0,False,hamlet,189.728,train,measured
S0199,Kampung Pukat,118.0874576,5.8291432,Sandakan,Sandakan,13696,8,0,0.7455,0.0,85,True,hamlet,202.9565,train,measured
S0200,Batu Sapi,118.0445333,5.8037817,Sandakan,Sandakan,22216,3,0,1.006,2.0,47,True,village,214.23,train,measured
S0201,Kg. Tinangol,116.7038484,6.7723729,Kudat,Kudat,1786,0,0,-0.1203333333333333,23.0,0,False,village,38.834,train,measured
S0202,Kg Mengaris,117.9501832,5.4070377,Kinabatangan,Sandakan,1069,2,1,0.461,7.0,157,True,village,53.272,train,measured
S0203,Kg. Gum Gum,117.9209983,5.8933391,Sandakan,Sandakan,8559,2,0,0.3933333333333333,7.0,0,False,village,70.779,train,measured
S0205,Kampung Dandulit,117.9102422,5.9696538,Sandakan,Sandakan,781,0,0,0.039,4.0,98,True,village,107.4605,validate,low_evidence
S0207,Abai,118.3830886,5.687723,Kinabatangan,Sandakan,149,2,0,-0.385,-2.0,129,True,village,34.872,validate,low_evidence
S0208,Inanam,116.135958,5.9922378,KotaKinabalu,West Coast,53612,14,3,0.6915,11.0,29,True,village,198.1335,train,measured
S0209,Kampung Sungai Kayu,118.0637551,5.9040503,Sandakan,Sandakan,24672,10,2,0.6895,12.0,59,True,hamlet,127.355,train,measured
S0210,Kampung Lupak Meluas,118.0666249,5.8089058,Sandakan,Sandakan,23311,6,0,1.168,6.0,80,True,hamlet,157.6135,train,measured
S0211,Kampung Air,118.0825228,5.8148658,Sandakan,Sandakan,17278,5,0,0.822,2.0,114,True,hamlet,106.203,train,measured
S0212,Kampung Merintanam,115.546489,5.039118,Sipitang,Interior,2325,1,1,0.523,24.0,0,False,village,30.534,train,measured
S0213,Kampung Pirasan,116.43065,6.3329745,KotaBelud,West Coast,8071,9,6,0.58375,27.0,75,True,village,179.927,train,measured
S0214,Kampung Rangalau,116.4403454,6.3056896,KotaBelud,West Coast,2101,2,0,-0.054,32.0,113,True,village,63.7675,train,measured
S0215,Kampung Rajunah,116.453604,6.283342,KotaBelud,West Coast,2595,1,0,-0.2205,50.0,121,True,village,24.276,train,measured
S0216,Kampung Gaur,116.457519,6.281577,KotaBelud,West Coast,2735,1,0,-0.2205,47.0,124,True,village,22.867,train,measured
S0217,Tanjung Aru,116.0557423,5.9533677,KotaKinabalu,West Coast,48593,20,10,0.9586666666666667,10.0,95,True,village,204.746,train,measured
S0218,Kampung Hungab,116.096415,5.9094814,Penampang,West Coast,48297,3,4,1.101,12.0,1,False,village,226.883,train,measured
S0219,Kg. Balung,118.1039281,4.3654738,Tawau,Tawau,16957,0,0,0.326,60.0,2,False,village,167.625,train,measured
S0220,Kampung Mandawang,116.6231166,6.66726,KotaMarudu,Kudat,212,0,0,-0.273,11.0,24,True,hamlet,9.88,validate,low_evidence
S0221,Kg. Dambai Papar,115.9549736,5.7427164,Papar,West Coast,9530,7,1,0.9786666666666667,27.0,0,False,village,111.392,train,measured
S0222,Kampung Bokara,118.0807131,5.8124591,Sandakan,Sandakan,17200,4,0,0.822,1.0,120,True,hamlet,129.739,train,measured
S0223,Segaliud,117.8201327,5.7308288,Sandakan,Sandakan,1988,0,0,-0.0255,9.0,21,True,village,18.5885,train,measured
S0224,Kampung Lot M,117.8303446,5.6433749,Kinabatangan,Sandakan,3234,0,0,-0.124,19.0,4,False,village,74.1935,train,measured
S0225,Kinabatangan,117.8466525,5.588993,Kinabatangan,Sandakan,17701,0,1,0.5133333333333333,34.0,0,False,town,59.735,train,measured
S0226,Kg. Nelayan Tengah,118.0173564,5.9210819,Sandakan,Sandakan,8760,1,0,0.41375,5.0,49,True,village,153.052,train,measured
S0227,Kampung Bahagia,118.0276899,5.7919259,Sandakan,Sandakan,13747,2,0,0.757,0.0,97,True,village,217.0815,train,measured
S0229,Telupid,117.1307798,5.6272326,Beluran,Sandakan,10998,1,1,1.0225,102.0,43,True,town,67.156,train,measured
S0230,Kg. Jaya Baru,117.9061674,5.5718621,Kinabatangan,Sandakan,2167,0,0,0.02066666666666667,12.0,0,False,village,99.939,train,measured
S0231,Tongod,116.9687321,5.2681386,Tongod,Sandakan,8454,0,0,-0.5706666666666668,62.0,123,True,town,83.593,train,measured
S0232,Kg. Balaban,117.5770708,5.8342116,Beluran,Sandakan,146,0,0,-0.4,17.0,0,False,village,24.08,train,measured
S0233,Kg. Jaya Bakti,117.7092373,5.7681783,Sandakan,Sandakan,2147,0,0,-0.28275,15.0,0,False,village,23.922,train,measured
S0234,Kampung Kawang,116.0176734,5.773031,Papar,West Coast,3986,0,0,0.35075,5.0,2,False,village,59.1765,train,measured
S0235,Kawang,116.0205166,5.7756548,Papar,West Coast,4161,0,0,0.388,39.0,2,False,hamlet,58.632,train,measured
S0239,Saliwangan,115.8016325,5.272817,Beaufort,Interior,739,0,0,-0.493,29.0,129,True,village,43.6895,validate,low_evidence
S0240,Kampung Sambah,116.2902122,6.2443677,Tuaran,West Coast,623,0,0,-0.476,11.0,88,True,village,11.518,validate,low_evidence
S0241,Kampung Suromboton,116.3520719,6.2646388,Tuaran,West Coast,4436,6,0,0.029666666666666657,19.0,11,True,village,96.222,train,measured
S0242,Kampung Marak Parak,116.7332936,6.3120478,KotaMarudu,Kudat,1729,1,0,-0.26266666666666666,144.0,1,False,village,26.093,validate,low_evidence
S0243,Kampung Sunsui,116.7747033,6.3871847,KotaMarudu,Kudat,1115,1,0,-0.05,68.0,62,True,village,24.482,train,measured
S0244,Kampung Sorinsim,116.7116806,6.2934576,KotaMarudu,Kudat,194,0,0,-0.422,180.0,0,False,village,96.0,validate,low_evidence
S0245,Badukan,116.6661539,5.9157822,Ranau,West Coast,6364,0,0,0.088,431.0,1,False,village,93.152,train,measured
S0246,Kampung Buang Sayang 2,115.9358337,5.738405,Papar,West Coast,14381,13,1,1.1256666666666668,12.0,72,True,village,154.438,train,measured
S0247,Kampung Melugus,115.9321537,5.7435936,Papar,West Coast,12879,11,1,1.1256666666666668,9.0,51,True,village,145.484,train,measured
S0248,Kampung Laut Papar,115.9254799,5.7357576,Papar,West Coast,14364,11,1,1.2445,8.0,91,True,village,139.9475,train,measured
S0249,Kampung Pengalat Kecil,115.9437611,5.7499957,Papar,West Coast,8718,9,0,1.0366666666666666,6.0,26,True,village,128.062,train,measured
S0250,Kampung Pengalat Besar,115.9629088,5.7599899,Papar,West Coast,8448,1,0,0.3605,8.0,42,True,village,201.652,train,measured
S0251,Kampung Baun,115.9479992,5.7456679,Papar,West Coast,10642,10,0,0.956,10.0,12,True,village,134.411,train,measured
S0252,Kampung Bundusan,115.9397509,5.7611763,Papar,West Coast,4056,3,0,0.925,10.0,67,True,village,155.201,train,measured
S0253,Kampung Sumbiling,115.9497501,5.7417086,Papar,West Coast,11054,13,1,0.956,8.0,4,False,village,115.626,train,measured
S0254,Kampung Berundong,115.9191936,5.726764,Papar,West Coast,11299,12,1,1.0065,9.0,1,False,village,134.411,train,measured
S0255,Kampung Tenggilung,115.557874,5.5010953,KualaPenyu,Interior,3636,3,0,0.477,14.0,0,False,village,45.574,train,measured
S0256,Kampung Kayul,115.5463513,5.4994293,KualaPenyu,Interior,2417,3,0,0.318,22.0,0,False,village,36.3415,train,measured
S0257,Menumbok,115.3690652,5.3040795,KualaPenyu,Interior,2184,0,0,-0.1165,8.0,71,True,town,32.161,train,measured
S0258,Kg. Bakalau,115.731229,5.3511344,Beaufort,Interior,12761,11,4,0.6035,16.0,76,True,village,89.477,train,measured
S0259,Kg. Gadung,115.6941463,5.3761581,Beaufort,Interior,3265,0,0,0.37133333333333335,14.0,32,True,village,45.8765,train,measured
S0260,Simpang Tiga,118.3834193,5.6960434,Kinabatangan,Sandakan,344,2,0,-0.385,-1.0,136,True,village,34.872,validate,low_evidence
S0261,Kg Mengaris2,117.9516956,5.4061473,Kinabatangan,Sandakan,865,2,1,0.2933333333333334,9.0,172,True,village,53.272,train,measured
S0262,Kampung Batu Puteh.,117.9418331,5.4200674,Kinabatangan,Sandakan,509,2,1,0.505,9.0,152,True,village,65.446,train,measured
S0263,Kampung Ranggal,117.2216046,6.5973275,Pitas,Kudat,0,0,0,-0.331,14.0,0,False,village,46.124,validate,low_evidence
S0265,,116.8067359,5.2248916,Tongod,Sandakan,381,0,0,-0.17733333333333332,81.0,116,True,village,81.4825,validate,low_evidence
S0266,,116.8014009,5.2387729,Tongod,Sandakan,381,0,0,-0.2215,74.0,0,False,village,108.737,validate,low_evidence
S0267,,116.8549486,5.2445209,Tongod,Sandakan,47,0,0,-0.30466666666666664,76.0,98,True,village,346.169,validate,low_evidence
S0269,Pensiangan,116.3117345,4.5384978,Nabawan,Interior,0,1,1,,172.0,66,True,town,43.784,validate,low_evidence
S0272,Kalabakan,117.4905986,4.4144005,Tawau,Tawau,5598,1,0,0.111,9.0,138,True,town,96.812,train,measured
S0273,Sungai Rakit,116.8012118,6.4544107,KotaMarudu,Kudat,1816,0,0,0.06,18.0,56,True,village,15.276,train,measured
S0274,Rampayan Ulu,116.5176299,6.5215802,KotaBelud,West Coast,2111,0,0,0.4575,15.0,84,True,village,35.6665,train,measured
S0275,,116.5497762,6.5807904,KotaBelud,West Coast,1021,0,1,0.066,14.0,174,True,hamlet,29.4075,train,measured
S0276,,116.5866787,6.6128756,KotaBelud,West Coast,221,0,0,-0.1235,15.0,0,False,village,70.205,train,measured
S0277,,116.580574,6.6178259,KotaBelud,West Coast,194,0,0,-0.1235,16.0,0,False,village,70.205,train,measured
S0279,,116.6805184,6.8828641,Kudat,Kudat,1832,0,0,0.3505,17.0,104,True,village,30.123,train,measured
S0280,,116.6760968,6.8728835,Kudat,Kudat,653,0,0,0.576,14.0,21,True,hamlet,31.684,train,measured
S0281,,116.3463728,6.3847972,KotaBelud,West Coast,1188,0,0,0.11866666666666666,10.0,144,True,village,57.3,train,measured
S0282,Kampung Sri Ganda,118.5611896,5.5073945,Kinabatangan,Sandakan,197,1,0,-0.5373333333333333,4.0,93,True,village,212.3815,validate,low_evidence
S0284,Togop Laut,116.7975091,6.1615009,Ranau,West Coast,871,0,0,-0.49,223.0,0,False,village,104.417,train,measured
S0285,,116.8102657,6.1657463,Ranau,West Coast,392,0,0,-0.44775,204.0,2,False,village,115.142,validate,low_evidence
S0287,,116.8997656,6.1841248,Ranau,West Coast,0,0,0,-0.431,224.0,1,False,village,161.854,train,measured
S0289,Pinampadan,116.8718096,6.1492245,Ranau,West Coast,382,0,0,0.054,144.0,45,True,village,21.813,validate,low_evidence
S0290,Kampung Kaingaran,116.97026,6.0921074,Ranau,West Coast,407,1,0,-0.286,96.0,97,True,village,82.127,train,measured
S0291,Tinaom,116.9572312,6.1112469,Ranau,West Coast,155,1,0,-0.15733333333333333,104.0,89,True,village,100.4,train,measured
S0293,,116.9497291,6.1649276,Ranau,West Coast,340,0,0,-0.0955,116.0,0,False,village,46.3835,train,measured
