settlement_id,ever_lit,ntl_max,ntl_2025,ntl_slope,ntl_p,light_trend
S0797,True,1.61,1.141,-0.1055,0.0455,dimming
S0798,False,0.0,,,,dark
S0799,False,0.0,,,,dark
S0800,True,0.667,0.0,0.0,0.2068,flat
S0801,False,0.0,,,,dark
S0802,False,0.0,,,,dark
S0803,False,0.46,,,,dark
S0804,False,0.0,,,,dark
S0805,True,0.706,0.0,0.0,0.5473,flat
S0806,False,0.0,,,,dark
S0807,True,0.911,0.727,0.0,0.0392,flat
S0808,False,0.0,,,,dark
S0809,False,0.0,,,,dark
S0810,False,0.467,,,,dark
S0811,True,0.757,0.0,0.0,0.593,flat
S0812,False,0.0,,,,dark
S0813,False,0.0,,,,dark
S0814,False,0.0,,,,dark
S0815,False,0.0,,,,dark
S0816,False,0.0,,,,dark
S0817,True,1.233,1.017,0.0962,0.0002,brightening
S0818,False,0.0,,,,dark
S0819,False,0.0,,,,dark
S0820,True,0.819,0.0,0.0,0.2781,flat
S0821,False,0.0,,,,dark
S0822,True,0.588,0.497,0.0556,0.0119,brightening
S0823,False,0.44,,,,dark
S0824,False,0.0,,,,dark
S0825,True,1.992,1.508,0.1561,0.0005,brightening
S0826,False,0.0,,,,dark
S0827,False,0.0,,,,dark
S0828,True,1.567,1.017,0.0589,0.0027,brightening
S0829,False,0.0,,,,dark
S0830,False,0.0,,,,dark
S0831,False,0.412,,,,dark
S0832,False,0.412,,,,dark
S0833,False,0.0,,,,dark
S0834,False,0.0,,,,dark
S0835,False,0.0,,,,dark
S0836,False,0.0,,,,dark
S0837,False,0.0,,,,dark
S0838,False,0.0,,,,dark
S0839,True,1.042,0.0,0.0,0.4627,flat
S0840,True,0.689,0.0,0.0,0.4918,flat
S0841,False,0.0,,,,dark
S0842,False,0.0,,,,dark
S0843,True,0.583,0.372,0.0,0.2618,flat
S0844,False,0.0,,,,dark
S0845,False,0.0,,,,dark
S0846,True,1.042,0.0,0.0,0.3262,flat
S0847,False,0.0,,,,dark
S0848,False,0.0,,,,dark
S0849,False,0.0,,,,dark
S0850,False,0.0,,,,dark
S0851,False,0.0,,,,dark
S0852,False,0.0,,,,dark
S0853,True,0.808,0.504,0.0568,0.0167,brightening
S0854,False,0.0,,,,dark
S0855,False,0.0,,,,dark
S0856,True,0.914,0.847,0.0373,0.1379,flat
S0857,False,0.0,,,,dark
S0858,False,0.0,,,,dark
S0859,False,0.0,,,,dark
S0860,False,0.0,,,,dark
S0861,False,0.0,,,,dark
S0862,True,1.831,0.847,0.0326,0.4497,flat
S0863,False,0.0,,,,dark
S0864,False,0.0,,,,dark
S0865,False,0.0,,,,dark
S0866,False,0.0,,,,dark
S0867,False,0.0,,,,dark
S0868,True,21.554,18.823,-0.3108,0.3674,flat
S0869,False,0.0,,,,dark
S0870,True,0.914,0.847,0.0373,0.1379,flat
S0871,False,0.0,,,,dark
S0872,True,1.503,1.013,0.0491,0.0573,flat
S0873,True,2.176,0.96,0.0961,0.0039,brightening
S0874,True,4.26,4.26,0.1759,0.0101,brightening
S0875,True,1.831,0.847,0.0326,0.4497,flat
S0876,False,0.0,,,,dark
S0877,False,0.0,,,,dark
S0878,False,0.0,,,,dark
S0879,True,2.176,0.96,0.0961,0.0039,brightening
S0880,False,0.0,,,,dark
S0881,True,23.768,22.962,-0.1917,0.6754,flat
S0882,True,2.084,1.892,0.0808,0.1,flat
S0883,True,23.768,22.962,-0.1917,0.6754,flat
S0884,False,0.0,,,,dark
S0885,True,1.376,1.376,0.0726,0.0003,brightening
S0886,True,0.648,0.648,0.0397,0.0008,brightening
S0887,False,0.0,,,,dark
S0888,False,0.0,,,,dark
S0889,True,1.629,1.257,0.112,0.0011,brightening
S0890,True,16.276,9.958,-0.1266,0.5098,flat
S0891,True,23.768,22.962,-0.1917,0.6754,flat
S0892,True,1.496,1.496,0.0738,0.0,brightening
S0893,True,11.476,10.12,-0.1231,0.4354,flat
S0894,True,6.782,5.355,0.1032,0.2044,flat
S0895,True,16.276,9.958,-0.1569,0.5098,flat
S0896,True,23.768,22.962,-0.1917,0.6754,flat
S0897,True,23.768,22.962,-0.1917,0.6754,flat
S0898,True,23.768,22.962,-0.1917,0.6754,flat
S0899,True,21.554,18.823,-0.3108,0.3674,flat
S0900,False,0.0,,,,dark
S0901,False,0.0,,,,dark
S0902,False,0.0,,,,dark
S0903,False,0.0,,,,dark
S0904,False,0.0,,,,dark
S0905,False,0.0,,,,dark
S0906,False,0.0,,,,dark
S0907,False,0.0,,,,dark
S0908,False,0.0,,,,dark
S0909,False,0.0,,,,dark
S0910,False,0.0,,,,dark
S0911,False,0.0,,,,dark
S0912,False,0.0,,,,dark
S0913,False,0.0,,,,dark
S0914,False,0.432,,,,dark
S0915,True,0.736,0.736,0.0,0.1088,flat
S0916,False,0.0,,,,dark
S0917,False,0.432,,,,dark
S0918,False,0.0,,,,dark
S0919,False,0.0,,,,dark
S0920,False,0.0,,,,dark
S0921,False,0.0,,,,dark
S0922,False,0.0,,,,dark
S0923,False,0.0,,,,dark
S0924,False,0.0,,,,dark
S0925,False,0.0,,,,dark
S0926,False,0.0,,,,dark
S0927,False,0.0,,,,dark
S0928,False,0.0,,,,dark
S0929,False,0.0,,,,dark
S0930,False,0.0,,,,dark
S0931,True,0.791,0.791,0.0,0.1088,flat
S0932,False,0.0,,,,dark
S0933,False,0.0,,,,dark
S0934,False,0.0,,,,dark
S0935,False,0.36,,,,dark
S0936,False,0.0,,,,dark
S0937,False,0.0,,,,dark
S0938,False,0.0,,,,dark
S0939,False,0.0,,,,dark
S0940,True,1.396,0.0,-0.0858,0.0778,flat
S0941,False,0.0,,,,dark
S0942,False,0.0,,,,dark
S0943,False,0.0,,,,dark
S0944,True,0.791,0.791,0.0,0.1088,flat
S0945,False,0.0,,,,dark
S0946,True,0.978,0.917,0.0,0.0161,flat
S0947,False,0.0,,,,dark
S0948,False,0.0,,,,dark
S0949,False,0.0,,,,dark
S0950,False,0.0,,,,dark
S0951,True,0.582,0.582,0.0,0.1088,flat
S0952,False,0.0,,,,dark
S0953,False,0.0,,,,dark
S0954,True,0.546,0.546,0.0,0.095,flat
S0955,False,0.0,,,,dark
S0956,True,1.053,1.053,0.053,0.1015,flat
S0957,True,0.978,0.917,0.0,0.0161,flat
S0958,True,6.992,5.716,-0.1792,0.0763,flat
S0959,True,1.172,0.94,0.0686,0.024,brightening
S0960,False,0.476,,,,dark
S0961,True,0.519,0.0,0.0,0.593,flat
S0962,False,0.0,,,,dark
S0963,True,1.714,1.245,-0.0152,0.765,flat
S0964,True,1.053,1.053,0.0565,0.1015,flat
S0965,True,0.837,0.0,0.0,0.593,flat
S0966,True,1.172,0.635,0.0,0.0798,flat
S0967,True,5.963,5.963,0.077,0.0422,brightening
S0968,True,1.937,1.937,0.0474,0.0422,brightening
S0969,True,4.922,4.922,0.0742,0.4354,flat
S0970,True,1.264,1.264,0.0575,0.0009,brightening
S0971,True,1.297,1.297,0.062,0.0005,brightening
S0972,True,0.999,0.999,0.0576,0.0005,brightening
S0973,True,4.674,3.997,0.0232,0.4354,flat
S0974,True,1.264,1.264,0.0549,0.0043,brightening
S0975,True,1.264,1.264,0.0549,0.0043,brightening
S0976,True,2.146,2.146,0.0701,0.0003,brightening
S0977,True,0.752,0.745,0.0,0.055,flat
S0978,True,21.554,18.823,-0.3108,0.3674,flat
S0979,True,1.424,1.424,0.0511,0.0216,brightening
S0980,True,4.484,4.484,0.0726,0.0573,flat
S0981,True,2.146,2.146,0.0931,0.0001,brightening
S0982,True,11.476,10.12,-0.1231,0.4354,flat
S0983,True,1.671,1.671,0.1131,0.0,brightening
S0984,True,9.844,9.027,0.0278,0.8577,flat
S0985,True,9.844,9.027,0.0278,0.8577,flat
S0986,False,0.0,,,,dark
S0987,False,0.0,,,,dark
S0988,False,0.0,,,,dark
S0989,True,4.368,3.69,0.2905,0.0,brightening
S0990,True,0.708,0.672,0.0263,0.0573,flat
S0991,True,9.844,9.027,0.0278,0.8577,flat
S0992,True,5.072,3.873,-0.0644,0.2044,flat
S0993,True,2.597,2.316,0.1894,0.0,brightening
S0994,True,9.844,9.027,0.0278,0.8577,flat
S0995,True,2.419,1.872,0.121,0.0005,brightening
S0996,True,9.844,9.027,0.0278,0.8577,flat
S0997,False,0.0,,,,dark
S0998,False,0.0,,,,dark
S0999,False,0.0,,,,dark
S1000,False,0.0,,,,dark
S1001,False,0.0,,,,dark
S1002,True,2.187,1.387,-0.0581,0.0009,dimming
S1003,True,2.597,2.316,0.2419,0.0,brightening
S1004,True,2.187,1.387,-0.0581,0.0009,dimming
S1005,True,2.187,1.387,-0.0581,0.0009,dimming
S1006,True,2.082,2.082,0.0569,0.0763,flat
S1007,True,4.786,4.786,0.2466,0.0,brightening
S1008,False,0.0,,,,dark
S1009,False,0.0,,,,dark
S1010,True,2.597,2.316,0.2577,0.0001,brightening
S1011,False,0.0,,,,dark
S1012,False,0.0,,,,dark
S1013,False,0.0,,,,dark
S1014,False,0.0,,,,dark
S1015,False,0.0,,,,dark
S1016,False,0.0,,,,dark
S1017,False,0.0,,,,dark
S1018,False,0.0,,,,dark
S1019,True,1.838,1.053,0.0917,0.2077,flat
S1020,False,0.0,,,,dark
S1021,False,0.0,,,,dark
S1022,False,0.0,,,,dark
S1023,True,0.54,0.392,0.0496,0.0167,brightening
S1024,False,0.0,,,,dark
S1025,True,0.54,0.392,0.0496,0.0167,brightening
S1026,False,0.0,,,,dark
S1027,False,0.0,,,,dark
S1028,False,0.0,,,,dark
S1029,False,0.0,,,,dark
S1030,False,0.37,,,,dark
S1031,False,0.0,,,,dark
S1032,False,0.0,,,,dark
S1033,False,0.0,,,,dark
S1034,True,1.838,1.053,0.0917,0.2077,flat
S1035,False,0.0,,,,dark
S1036,False,0.0,,,,dark
S1037,True,0.633,0.633,0.0,0.1088,flat
S1038,False,0.0,,,,dark
S1039,False,0.356,,,,dark
S1040,True,0.633,0.633,0.0,0.1088,flat
S1041,False,0.0,,,,dark
S1042,False,0.0,,,,dark
S1043,False,0.356,,,,dark
S1044,False,0.0,,,,dark
S1045,False,0.0,,,,dark
S1046,False,0.0,,,,dark
S1047,True,0.633,0.633,0.0,0.1088,flat
S1048,True,0.732,0.0,-0.0407,0.0041,dimming
S1049,False,0.0,,,,dark
S1050,False,0.0,,,,dark
S1051,False,0.0,,,,dark
S1052,False,0.0,,,,dark
S1053,False,0.0,,,,dark
S1054,False,0.0,,,,dark
S1055,False,0.0,,,,dark
S1056,False,0.0,,,,dark
S1057,False,0.0,,,,dark
S1058,False,0.0,,,,dark
S1059,False,0.0,,,,dark
S1060,True,35.68,35.68,-0.0599,0.9524,flat
S1061,False,0.0,,,,dark
S1062,False,0.0,,,,dark
S1063,False,0.0,,,,dark
S1064,False,0.0,,,,dark
S1065,False,0.0,,,,dark
S1066,True,10.743,10.743,0.2625,0.015,brightening
S1067,True,12.524,9.603,-0.2734,0.0573,flat
S1068,True,12.239,10.011,-0.1799,0.0763,flat
S1069,True,4.03,3.112,0.2045,0.0,brightening
S1070,True,1.827,1.625,0.0961,0.0,brightening
S1071,True,7.951,5.618,-0.2603,0.0043,dimming
S1072,True,0.817,0.0,0.0299,0.0248,brightening
S1073,False,0.0,,,,dark
S1074,True,0.739,0.512,0.0,0.6516,flat
S1075,False,0.0,,,,dark
S1076,True,1.734,1.408,0.161,0.0001,brightening
S1077,False,0.0,,,,dark
S1078,True,6.212,6.212,0.1133,0.0763,flat
S1079,True,9.502,9.502,0.5515,0.0,brightening
S1080,True,8.093,7.873,0.1332,0.1635,flat
S1081,True,15.686,13.353,0.4698,0.0305,brightening
S1082,False,0.0,,,,dark
S1083,True,1.583,1.23,0.1212,0.0003,brightening
S1084,False,0.0,,,,dark
S1085,False,0.0,,,,dark
S1086,False,0.0,,,,dark
S1087,False,0.0,,,,dark
S1088,False,0.0,,,,dark
S1089,False,0.0,,,,dark
S1090,False,0.0,,,,dark
S1091,False,0.0,,,,dark
S1092,False,0.0,,,,dark
S1093,False,0.0,,,,dark
S1094,False,0.0,,,,dark
S1095,False,0.0,,,,dark
S1096,True,1.005,0.767,0.0,0.0392,flat
S1097,False,0.0,,,,dark
S1098,True,1.005,0.767,0.0,0.0392,flat
S1099,False,0.0,,,,dark
S1100,False,0.0,,,,dark
S1101,True,1.005,0.767,0.0,0.0392,flat
S1102,True,1.575,1.575,0.056,0.0,brightening
S1103,False,0.431,,,,dark
S1104,False,0.0,,,,dark
S1105,False,0.456,,,,dark
S1106,False,0.0,,,,dark
S1107,False,0.0,,,,dark
S1108,False,0.456,,,,dark
S1109,False,0.0,,,,dark
S1110,False,0.0,,,,dark
S1111,False,0.0,,,,dark
S1112,False,0.0,,,,dark
S1113,False,0.0,,,,dark
S1114,False,0.0,,,,dark
S1115,True,0.705,0.441,0.0,0.3588,flat
S1116,False,0.0,,,,dark
S1117,False,0.0,,,,dark
S1118,False,0.0,,,,dark
S1119,False,0.0,,,,dark
S1120,False,0.0,,,,dark
S1121,False,0.0,,,,dark
S1122,True,13.732,7.413,0.6436,0.0305,brightening
S1123,False,0.0,,,,dark
S1124,False,0.0,,,,dark
S1125,False,0.0,,,,dark
S1126,False,0.0,,,,dark
S1127,True,26.545,21.8,0.3072,0.1289,flat
S1128,False,0.0,,,,dark
S1129,False,0.0,,,,dark
S1130,True,0.627,0.0,0.0,0.593,flat
S1131,False,0.0,,,,dark
S1132,False,0.0,,,,dark
S1133,False,0.171,,,,dark
S1134,False,0.0,,,,dark
S1135,True,2.609,1.514,0.0091,0.8577,flat
S1136,True,1.992,1.508,0.1475,0.0009,brightening
S1137,False,0.0,,,,dark
S1138,True,3.457,3.457,0.1039,0.0573,flat
S1139,True,116.375,110.789,0.9366,0.4354,flat
S1140,True,34.54,28.191,0.3575,0.2044,flat
S1141,False,0.0,,,,dark
S1142,True,32.18,26.0,0.0092,1.0,flat
S1143,True,89.837,63.389,-1.3322,0.0305,flat_urban_artefact
S1144,True,12.491,10.138,0.053,0.5098,flat
S1145,True,1.037,0.956,0.0275,0.0763,flat
S1146,True,6.012,2.788,-0.0433,0.765,flat
S1147,True,15.026,13.835,-0.0385,0.765,flat
S1148,True,2.498,1.804,-0.0163,0.59,flat
S1149,True,15.026,13.835,-0.0385,0.765,flat
S1150,True,3.583,2.678,0.083,0.1,flat
S1151,True,1.404,1.285,0.0783,0.0001,brightening
S1152,True,3.583,2.678,0.083,0.1,flat
S1153,True,4.408,2.828,0.054,0.5098,flat
S1154,True,26.862,8.22,-1.3911,0.0003,flat_urban_artefact
S1155,True,3.495,1.95,0.1514,0.1289,flat
S1156,True,35.68,35.68,-0.0599,0.9524,flat
S1157,True,35.68,35.68,-0.0599,0.9524,flat
S1158,True,35.68,35.68,-0.0599,0.9524,flat
S1159,True,13.647,13.312,0.1568,0.2044,flat
S1160,True,29.738,19.044,0.7382,0.1289,flat
S1161,True,18.814,9.7,-0.3351,0.4354,flat
S1162,True,18.814,9.7,-0.3351,0.4354,flat
S1163,True,18.814,10.531,-0.319,0.4354,flat
S1164,True,72.66,30.436,1.1092,0.1635,flat
S1165,True,72.66,30.436,1.1092,0.1635,flat
S1166,True,7.619,6.395,0.3062,0.0216,brightening
S1167,True,6.985,6.985,0.3034,0.0,brightening
S1168,True,27.096,27.096,0.4361,0.0009,brightening
S1169,True,9.711,8.931,0.3431,0.0003,brightening
S1170,True,116.375,110.789,0.9366,0.4354,flat
S1171,True,55.811,50.872,0.8867,0.0043,brightening
S1172,True,58.324,36.22,-1.0208,0.0305,flat_urban_artefact
S1173,True,55.811,50.872,1.0284,0.0027,brightening
S1174,True,42.192,42.192,0.5341,0.1289,flat
S1175,True,116.375,110.789,0.9366,0.4354,flat
S1176,True,62.731,62.731,0.4873,0.2519,flat
S1177,True,62.731,62.731,-0.1365,0.5098,flat
S1178,True,89.837,74.978,-0.2807,0.5098,flat
S1179,True,89.837,74.978,-0.2585,0.5098,flat
S1180,True,38.315,38.315,0.781,0.0003,brightening
S1181,True,19.403,19.403,0.2921,0.0016,brightening
S1182,True,35.68,35.68,-0.0599,0.9524,flat
S1183,True,4.223,2.972,-0.087,0.0101,dimming
S1184,True,28.396,28.396,0.4631,0.1635,flat
S1185,True,4.302,3.585,0.2157,0.0001,brightening
S1186,True,4.302,3.585,0.2328,0.0001,brightening
S1187,True,15.686,13.353,0.3835,0.0763,flat
S1188,True,3.27,3.27,0.0729,0.0027,brightening
S1189,False,0.0,,,,dark
S1190,True,1.464,1.122,0.1261,0.0008,brightening
S1191,False,0.0,,,,dark
S1192,False,0.0,,,,dark
S1193,False,0.194,,,,dark
S1194,False,0.0,,,,dark
S1195,True,22.552,14.826,0.0485,0.9524,flat
S1196,False,0.0,,,,dark
S1197,False,0.0,,,,dark
S1198,False,0.0,,,,dark
S1199,False,0.0,,,,dark
S1200,False,0.0,,,,dark
S1201,False,0.0,,,,dark
S1202,False,0.0,,,,dark
S1203,False,0.0,,,,dark
S1204,False,0.0,,,,dark
S1205,False,0.0,,,,dark
S1206,False,0.0,,,,dark
S1207,False,0.0,,,,dark
S1208,False,0.37,,,,dark
S1209,True,0.637,0.0,0.0,0.4918,flat
S1210,True,0.637,0.0,0.0,0.4918,flat
S1211,True,0.745,0.0,0.0,0.5592,flat
S1212,False,0.0,,,,dark
S1213,True,3.14,0.711,-0.175,0.0005,dimming
S1214,True,3.14,0.711,-0.175,0.0005,dimming
S1215,False,0.0,,,,dark
S1216,False,0.0,,,,dark
S1217,False,0.0,,,,dark
S1218,False,0.0,,,,dark
S1219,False,0.0,,,,dark
S1220,False,0.0,,,,dark
S1221,False,0.0,,,,dark
S1222,True,0.527,0.527,0.0,0.6766,flat
S1223,False,0.0,,,,dark
S1224,False,0.0,,,,dark
S1225,False,0.0,,,,dark
S1226,False,0.387,,,,dark
S1227,False,0.361,,,,dark
S1228,True,0.745,0.0,0.0,0.4518,flat
S1229,True,0.584,0.0,0.0,0.4527,flat
S1230,False,0.0,,,,dark
S1231,False,0.0,,,,dark
S1232,False,0.0,,,,dark
S1233,True,0.543,0.543,0.0,0.1088,flat
S1234,False,0.0,,,,dark
S1235,True,0.945,0.384,-0.0215,0.0216,dimming
S1236,False,0.474,,,,dark
S1237,False,0.0,,,,dark
S1238,True,1.176,0.623,-0.0215,0.2044,flat
S1239,False,0.0,,,,dark
S1240,True,0.637,0.0,0.0,0.4918,flat
S1241,True,0.645,0.0,0.0,0.6766,flat
S1242,False,0.474,,,,dark
S1243,False,0.0,,,,dark
S1244,False,0.0,,,,dark
S1245,False,0.0,,,,dark
S1246,False,0.0,,,,dark
S1247,True,0.543,0.543,0.0,0.1088,flat
S1248,True,0.543,0.543,0.0,0.6766,flat
S1249,True,0.543,0.543,0.0,0.1088,flat
S1250,True,1.334,1.334,0.0368,0.0989,flat
S1251,False,0.0,,,,dark
S1252,True,0.88,0.0,0.0,0.1229,flat
S1253,False,0.0,,,,dark
S1254,False,0.0,,,,dark
S1255,False,0.0,,,,dark
S1256,False,0.0,,,,dark
S1257,True,1.63,0.0,0.0,0.1561,flat
S1258,False,0.0,,,,dark
S1259,False,0.0,,,,dark
S1260,False,0.0,,,,dark
S1261,False,0.0,,,,dark
S1262,False,0.0,,,,dark
S1263,True,0.818,0.0,0.0,0.3588,flat
S1264,True,0.574,0.0,0.0,0.7893,flat
S1265,True,1.4,0.0,0.0,0.071,flat
S1266,False,0.453,,,,dark
S1267,True,1.499,0.0,0.0,0.593,flat
S1268,True,0.52,0.0,0.0,0.7893,flat
S1269,False,0.0,,,,dark
S1270,False,0.0,,,,dark
S1271,False,0.0,,,,dark
S1272,False,0.0,,,,dark
S1273,False,0.0,,,,dark
S1274,False,0.0,,,,dark
S1275,False,0.0,,,,dark
S1276,False,0.0,,,,dark
S1277,False,0.0,,,,dark
S1278,False,0.0,,,,dark
S1279,True,3.177,1.32,0.0981,0.2455,flat
S1280,False,0.0,,,,dark
S1281,True,0.506,0.0,0.0,0.593,flat
S1282,False,0.0,,,,dark
S1283,False,0.0,,,,dark
S1284,False,0.0,,,,dark
S1285,False,0.0,,,,dark
S1286,False,0.0,,,,dark
S1287,False,0.0,,,,dark
S1288,True,0.523,0.0,0.0,0.2017,flat
S1289,False,0.0,,,,dark
S1290,True,0.774,0.0,0.0,0.1324,flat
S1291,True,1.732,0.0,0.0,0.3588,flat
S1292,True,1.05,0.712,0.0568,0.0043,brightening
S1293,True,0.764,0.0,0.0,0.4227,flat
S1294,True,1.935,1.566,0.1181,0.0748,flat
S1295,True,0.752,0.565,0.0604,0.0029,brightening
S1296,False,0.0,,,,dark
S1297,True,1.63,0.0,0.0,0.2108,flat
S1298,False,0.0,,,,dark
S1299,True,0.969,0.0,0.0,0.285,flat
S1300,False,0.0,,,,dark
S1301,False,0.0,,,,dark
S1302,True,0.563,0.0,0.0,0.4527,flat
S1303,False,0.0,,,,dark
S1304,True,0.83,0.523,0.0219,0.3778,flat
S1305,False,0.0,,,,dark
S1306,True,1.843,1.074,0.1382,0.0135,brightening
S1307,True,0.523,0.0,0.0,0.2017,flat
S1308,True,1.499,0.0,0.0,0.2108,flat
S1309,True,1.499,0.0,0.0,0.3767,flat
S1310,True,0.818,0.68,0.0,0.2922,flat
S1311,True,0.902,0.0,0.0,0.4527,flat
S1312,False,0.0,,,,dark
S1313,False,0.0,,,,dark
S1314,True,1.843,1.429,0.146,0.0041,brightening
S1315,False,0.0,,,,dark
S1316,True,1.935,1.566,0.1142,0.0324,brightening
S1317,True,0.508,0.0,0.0,0.3588,flat
S1318,True,2.232,1.834,0.0416,0.0422,brightening
S1319,True,31.802,30.418,1.0282,0.0001,brightening
S1320,True,3.728,2.981,0.0016,0.9524,flat
S1321,True,3.046,3.027,0.2136,0.0,brightening
S1322,True,2.402,1.944,0.0418,0.59,flat
S1323,True,2.309,1.903,0.0638,0.0422,brightening
S1324,True,4.362,4.362,0.1277,0.0101,brightening
S1325,True,3.63,3.071,0.0485,0.2044,flat
S1326,True,5.728,4.752,0.1519,0.0305,brightening
S1327,True,6.846,6.462,0.1088,0.0573,flat
S1328,True,11.332,9.854,-0.3543,0.0043,flat_urban_artefact
S1329,True,24.27,24.27,0.6112,0.0573,flat
S1330,True,24.27,24.27,0.6112,0.0573,flat
S1331,True,14.402,13.623,0.2799,0.1289,flat
S1332,True,5.135,3.236,0.0492,0.3062,flat
S1333,True,1.062,1.062,0.0627,0.0,brightening
S1334,True,3.743,3.326,0.1852,0.0,brightening
S1335,True,3.743,3.326,0.2058,0.0,brightening
S1336,True,3.743,3.326,0.1852,0.0,brightening
S1337,True,3.239,3.239,0.1855,0.0,brightening
S1338,True,1.871,1.72,0.1043,0.0001,brightening
S1339,True,24.27,24.27,0.5575,0.1,flat
S1340,True,13.292,12.604,0.252,0.1,flat
S1341,True,13.292,12.604,0.3203,0.015,brightening
S1342,True,14.575,7.743,-0.2076,0.5098,flat
S1343,True,9.044,4.682,-0.1299,0.1289,flat
S1344,True,3.736,3.345,0.0946,0.0305,brightening
S1345,True,3.124,3.124,0.1604,0.0003,brightening
S1346,True,2.004,1.782,0.0955,0.0,brightening
S1347,True,2.004,1.782,0.0753,0.0,brightening
S1348,True,4.783,3.128,-0.0329,0.765,flat
S1349,True,2.642,2.154,0.001,0.9524,flat
S1350,True,4.783,3.128,-0.0329,0.765,flat
S1351,True,3.286,3.128,0.03,0.3062,flat
S1352,True,4.783,3.128,-0.0329,0.765,flat
S1353,True,4.783,3.128,-0.0329,0.765,flat
S1354,True,2.642,2.154,-0.0253,0.3674,flat
S1355,True,2.136,1.839,0.0577,0.0101,brightening
S1356,False,0.432,,,,dark
S1357,False,0.0,,,,dark
S1358,True,0.812,0.0,0.0,0.6402,flat
S1359,True,35.878,22.19,-0.3208,0.59,flat
S1360,True,0.569,0.0,0.0117,0.0714,flat
S1361,True,5.273,5.273,0.1158,0.2519,flat
S1362,True,1.993,1.294,0.0292,0.0573,flat
S1363,True,1.61,1.424,0.0842,0.0009,brightening
S1364,False,0.0,,,,dark
S1365,True,1.567,1.483,0.0841,0.0005,brightening
S1366,False,0.379,,,,dark
S1367,False,0.458,,,,dark
S1368,True,1.014,0.543,0.0606,0.0628,flat
S1369,False,0.0,,,,dark
S1370,False,0.417,,,,dark
S1371,False,0.0,,,,dark
S1372,True,9.044,4.682,-0.1557,0.1289,flat
S1373,True,6.212,6.212,0.1166,0.0216,brightening
S1374,True,3.158,1.745,-0.002,1.0,flat
S1375,True,2.846,2.846,0.1853,0.0,brightening
S1376,False,0.0,,,,dark
S1377,True,2.878,2.668,-0.0183,0.6754,flat
S1378,True,8.779,3.62,-0.2545,0.0043,dimming
S1379,True,1.35,1.325,0.0234,0.59,flat
S1380,True,3.491,3.066,0.1466,0.0001,brightening
S1381,True,9.595,5.205,0.3346,0.1,flat
S1382,True,9.086,9.086,0.2493,0.0101,brightening
S1383,True,13.194,13.194,0.4437,0.0005,brightening
S1384,True,7.253,7.253,0.4238,0.0005,brightening
S1385,True,13.194,13.194,0.5069,0.0009,brightening
S1386,True,3.991,3.991,0.0881,0.0305,brightening
S1387,True,10.919,6.571,0.2061,0.1,flat
S1388,True,10.919,9.086,0.5956,0.1289,flat
S1389,True,10.919,9.086,0.5956,0.0763,flat
S1390,True,9.086,9.086,0.2671,0.0101,brightening
S1391,True,3.749,3.749,0.1838,0.0001,brightening
S1392,True,10.606,7.0,-0.0675,0.765,flat
S1393,True,14.335,14.335,0.5166,0.0216,brightening
S1394,True,14.335,14.335,0.5502,0.0101,brightening
S1395,True,27.041,27.041,0.3983,0.4354,flat
S1396,True,14.402,7.116,-0.0377,0.765,flat
S1397,True,16.106,12.713,-0.0332,0.9524,flat
S1398,True,4.047,2.329,-0.089,0.0009,dimming
S1399,True,16.106,12.713,-0.0591,0.8577,flat
S1400,True,16.106,12.713,-0.0591,0.8577,flat
S1401,True,12.129,8.024,0.3726,0.1289,flat
S1402,True,2.36,1.719,0.0534,0.0573,flat
S1403,True,22.386,20.107,0.8839,0.0009,brightening
S1404,True,5.956,5.302,0.1299,0.0305,brightening
S1405,True,36.131,23.326,-0.6731,0.0216,flat_urban_artefact
S1406,True,9.344,4.877,0.3935,0.0422,brightening
S1407,True,22.062,17.413,0.3726,0.0573,flat
S1408,True,8.638,6.15,0.0044,1.0,flat
S1409,True,11.191,10.501,0.0805,0.5098,flat
S1410,True,27.042,16.985,0.3729,0.3062,flat
S1411,True,7.416,4.645,0.3428,0.0016,brightening
S1412,True,7.416,4.645,0.2882,0.0573,flat
S1413,True,1.969,1.454,0.1538,0.0002,brightening
S1414,True,30.278,30.278,0.5821,0.1289,flat
S1415,True,26.729,20.347,0.3618,0.4354,flat
S1416,True,42.55,20.068,-1.3753,0.0001,flat_urban_artefact
S1417,True,28.439,24.145,-0.4646,0.1289,flat
S1418,True,28.439,24.145,0.035,0.8577,flat
S1419,True,30.393,30.393,-0.4026,0.2519,flat
S1420,True,29.007,28.983,-0.3456,0.1289,flat
S1421,True,1.89,1.815,0.0961,0.0,brightening
S1422,True,1.416,1.07,0.0318,0.2519,flat
S1423,True,1.477,1.343,0.141,0.0005,brightening
S1424,True,6.638,4.981,0.3421,0.0,brightening
S1425,True,48.717,28.57,-0.9186,0.0573,flat
S1426,True,20.666,20.666,1.0297,0.0,brightening
S1427,True,3.328,3.328,0.1931,0.0,brightening
S1428,True,1.22,0.0,0.0434,0.0951,flat
S1429,False,0.0,,,,dark
S1430,False,0.25,,,,dark
S1431,True,0.76,0.0,0.0,0.1561,flat
S1432,True,1.043,1.043,0.0987,0.0,brightening
S1433,True,1.024,0.981,0.0991,0.0001,brightening
S1434,True,0.848,0.803,0.0618,0.0056,brightening
S1435,True,0.848,0.811,0.0634,0.0003,brightening
S1436,True,1.245,1.042,0.0745,0.0,brightening
