settlement_id,ever_lit,ntl_max,ntl_2025,ntl_slope,ntl_p,light_trend
S0306,True,0.626,0.0,0.0,0.4527,flat
S0307,True,0.599,0.0,-0.0181,0.0333,dimming
S0308,True,3.032,2.439,0.088,0.0009,brightening
S0309,True,7.602,5.54,-0.1999,0.0016,dimming
S0310,False,0.0,,,,dark
S0311,True,12.429,4.372,-0.6299,0.0573,flat
S0312,False,0.0,,,,dark
S0313,False,0.0,,,,dark
S0314,False,0.0,,,,dark
S0315,True,1.523,1.469,0.0499,0.0422,brightening
S0316,True,1.523,1.003,-0.0019,0.8577,flat
S0317,True,0.682,0.0,0.0,0.9218,flat
S0318,True,1.566,1.003,-0.0293,0.2044,flat
S0319,True,1.806,1.806,0.0957,0.0043,brightening
S0320,True,1.857,1.118,-0.0323,0.1,flat
S0321,True,1.857,1.118,-0.0323,0.1635,flat
S0322,True,1.857,1.118,-0.0851,0.0101,dimming
S0323,False,0.452,,,,dark
S0324,False,0.0,,,,dark
S0325,False,0.0,,,,dark
S0326,True,0.748,0.66,0.0696,0.0002,brightening
S0327,True,1.197,1.156,0.1105,0.0003,brightening
S0328,True,1.197,1.156,0.1105,0.0003,brightening
S0329,False,0.0,,,,dark
S0330,True,0.809,0.0,0.0,0.6234,flat
S0331,True,0.809,0.0,0.0,0.2781,flat
S0332,True,0.809,0.0,0.0,0.2781,flat
S0333,False,0.0,,,,dark
S0334,True,0.736,0.0,0.0,0.2287,flat
S0335,False,0.455,,,,dark
S0336,False,0.0,,,,dark
S0337,False,0.434,,,,dark
S0338,False,0.0,,,,dark
S0339,True,1.806,1.806,0.1631,0.0,brightening
S0340,True,1.806,1.806,0.1631,0.0,brightening
S0341,True,0.576,0.517,0.0482,0.005,brightening
S0342,True,0.517,0.517,0.0,0.1088,flat
S0343,True,1.119,0.978,0.0908,0.0003,brightening
S0344,True,1.119,0.978,0.0834,0.0001,brightening
S0345,True,0.874,0.874,0.0517,0.0016,brightening
S0346,True,0.826,0.819,0.0697,0.0001,brightening
S0347,False,0.0,,,,dark
S0348,True,1.074,0.889,0.0868,0.0002,brightening
S0349,True,5.602,3.252,-0.0663,0.3674,flat
S0350,True,1.823,1.803,0.0528,0.0003,brightening
S0351,True,0.748,0.659,0.0,0.0352,flat
S0352,True,0.748,0.659,0.0,0.0352,flat
S0353,False,0.0,,,,dark
S0354,False,0.0,,,,dark
