settlement_id,year,max_1km,mean_1km
S0000,2013,106.1884536743164,54.233384591309154
S0004,2013,1.7272390127182007,0.4498765021981934
S0007,2013,0.0,0.0
S0009,2013,4.121629238128662,1.4380748468663611
S0010,2013,6.69785737991333,2.384227615340374
S0011,2013,0.0,0.0
S0012,2013,0.0,0.0
S0015,2013,2.2471089363098145,0.8371086268077994
S0016,2013,1.8895682096481323,0.8464657172972276
S0017,2013,0.0,0.0
S0018,2013,1.498904824256897,0.11386045065472788
S0019,2013,0.0,0.0
S0020,2013,2.1165130138397217,0.7615816515069783
S0021,2013,0.0,0.0
S0022,2013,0.0,0.0
S0023,2013,0.6440955996513367,0.20337251537565085
S0024,2013,0.6134844422340393,0.049064680335286714
S0026,2013,0.0,0.0
S0028,2013,0.0,0.0
S0029,2013,0.0,0.0
S0030,2013,0.0,0.0
S0033,2013,0.2057683765888214,0.01591756624410864
S0034,2013,1.467971682548523,0.4044548391046302
S0035,2013,0.0,0.0
S0036,2013,0.9253526926040649,0.4446894878041257
S0037,2013,0.0,0.0
S0038,2013,0.0,0.0
S0040,2013,0.7068948149681091,0.2906244126029481
S0041,2013,0.0,0.0
S0042,2013,0.2744896411895752,0.0007771018467147457
S0044,2013,0.0,0.0
S0045,2013,0.0,0.0
S0048,2013,0.0,0.0
S0049,2013,0.0,0.0
S0050,2013,0.0,0.0
S0051,2013,1.1246869564056396,0.2771749713458997
S0052,2013,0.0,0.0
S0053,2013,0.0,0.0
S0054,2013,0.0,0.0
S0055,2013,0.0,0.0
S0056,2013,0.0,0.0
S0057,2013,0.0,0.0
S0058,2013,0.0,0.0
S0059,2013,0.0,0.0
S0060,2013,0.0,0.0
S0062,2013,0.9626613855361938,0.10053891520180143
S0063,2013,0.0,0.0
S0066,2013,0.0,0.0
S0069,2013,10.7138090133667,5.056857203702967
S0070,2013,2.719318151473999,0.5092760055011974
S0072,2013,2.0471198558807373,0.540686781528678
S0073,2013,2.842087745666504,1.346226561852081
S0074,2013,0.0,0.0
S0075,2013,0.0,0.0
S0076,2013,0.0,0.0
S0077,2013,0.0,0.0
S0078,2013,0.0,0.0
S0079,2013,1.0269039869308472,0.23053767917952195
S0080,2013,0.5679648518562317,0.16708089095528345
S0081,2013,0.0,0.0
S0082,2013,0.0,0.0
S0083,2013,1.9639933109283447,0.3432912840301647
S0084,2013,0.7609866857528687,0.2780758803730772
S0085,2013,0.0,0.0
S0086,2013,2.0415000915527344,0.14009997863469162
S0087,2013,0.38932400941848755,0.016064069078028577
S0088,2013,0.9017303586006165,0.25848674754963774
S0089,2013,1.9071383476257324,0.8373547926002265
S0090,2013,0.0,0.0
S0091,2013,3.959664821624756,1.6678341715115903
S0092,2013,1.3733422756195068,0.5217026494499436
S0093,2013,0.0,0.0
S0094,2013,0.6558813452720642,0.04313837442515523
S0095,2013,8.332441329956055,2.590034592166595
S0096,2013,0.3729889988899231,0.055812814517039164
S0098,2013,4.835043907165527,1.2567540608919583
S0099,2013,3.2601239681243896,1.3891167785717136
S0101,2013,1.5607739686965942,0.3203885269299613
S0102,2013,0.0,0.0
S0104,2013,1.760514736175537,0.2802844451952821
S0105,2013,0.0,0.0
S0107,2013,0.0,0.0
S0109,2013,0.0,0.0
S0111,2013,0.0,0.0
S0113,2013,3.2795989513397217,0.7388054862866567
S0114,2013,2.1137328147888184,0.536814456809678
S0115,2013,0.0,0.0
S0116,2013,3.066070079803467,0.6678670626315089
S0117,2013,2.33296537399292,0.5323160109845586
S0118,2013,2.1985840797424316,0.17934971469747538
S0119,2013,0.4361830949783325,0.03431351372091055
S0121,2013,0.0,0.0
S0124,2013,0.0,0.0
S0125,2013,0.0,0.0
S0126,2013,0.13428270816802979,0.017106847837567333
S0130,2013,0.0,0.0
S0131,2013,25.84295654296875,9.601922740139553
S0132,2013,2.822418451309204,0.6726740372240749
S0133,2013,0.0,0.0
