settlement_id,name,district,lat,lon,pop_2km,backhaul_km,elev_drop_m,only_self_3km,only_self_5km,only_self_10km,ever_lit
S0952,Togis,Ranau,6.0724026,116.7758169,1244,18.12,-290.0,1,0,0,False
S0957,Dobut,Ranau,6.0633286,116.8001574,1167,19.36,-284.0,0,0,0,True
S0960,Nampasan Baru,Ranau,6.0293568,116.7251583,766,10.86,-101.0,1,1,1,False
S0961,Nopung 2,Ranau,6.044906,116.7574738,1758,14.5,-230.0,0,0,0,True
S0965,Nopung 1,Ranau,6.0459598,116.7431299,1322,13.54,-215.0,0,0,0,True
S0966,Simpang Poring,Ranau,6.0247047,116.7371689,2810,11.33,-209.0,0,0,0,True
S0988,Mumpoit,Ranau,5.8670441,116.5672761,662,13.22,-390.0,1,1,1,False
S0990,Monguwou,Ranau,5.9164702,116.650652,2649,4.23,37.0,1,1,1,True
S0993,Somuru,Ranau,5.9610547,116.5955176,1353,3.6,-135.0,1,0,0,True
S0997,Mohimboyon Lama,Ranau,5.9490421,116.5742441,943,4.08,-336.0,0,0,0,False
S1000,Mohimboyon Baru,Ranau,5.942872,116.5879609,517,4.99,-466.0,0,0,0,False
S1002,Gondohon,Ranau,5.9726888,116.5294,2669,5.19,-222.0,0,0,0,True
S1003,Pinausuk,Ranau,5.9715748,116.6005266,1844,3.28,-207.0,0,0,0,True
S1005,Bundu Tuhan Sibah,Ranau,5.9767187,116.5296757,2897,5.06,-245.0,0,0,0,True
S1006,Tinompok,Ranau,6.0042032,116.5315391,1847,5.17,230.0,1,1,0,True
S1008,Lagkau,Ranau,5.864768,116.578317,747,13.46,-389.0,0,0,0,False
S1010,Naradau,Ranau,5.9699241,116.610333,859,4.34,-271.0,0,0,0,True
S1019,Komburongoh,Ranau,5.9148989,116.5523936,1256,8.25,-450.0,0,0,0,True
S1020,Rondogung,Ranau,5.8730698,116.5840241,724,12.57,-407.0,0,0,0,False
S1023,Soyod,Ranau,5.9285252,116.5524134,1154,6.81,-500.0,0,0,0,True
S1024,Pahu,Ranau,5.9428587,116.5545268,813,5.25,-217.0,0,0,0,False
S1025,Mogoho,Ranau,5.9272681,116.5622378,853,6.64,-458.0,0,0,0,True
S1026,Maukab,Ranau,5.898538,116.5572532,1342,9.88,-330.0,1,1,1,False
S1030,Piasau,Ranau,5.9197567,116.5389621,994,8.32,-277.0,0,0,0,False
S1034,Sumalang,Ranau,5.9048187,116.5573592,1425,9.19,-239.0,0,0,0,True
S1040,Liposu Lama,Ranau,5.9776888,116.6271793,562,5.24,357.0,0,0,0,True
S1041,Ruhukon,Ranau,5.9616214,116.6317392,1096,3.99,259.0,0,0,0,False
S1042,Batu 5,Ranau,5.9490482,116.6312945,1031,3.88,246.0,0,0,0,False
S1043,Purak Pogis,Ranau,5.9360702,116.6275559,865,4.6,131.0,0,0,0,False
S1044,Koporingan Lama,Ranau,5.9398281,116.6218703,865,5.07,248.0,0,0,0,False
S1046,Koporingan Baru,Ranau,5.9431707,116.6217402,867,5.01,301.0,0,0,0,False
S1047,Tamalang,Ranau,5.967166,116.6315073,540,4.24,265.0,1,1,1,True
S1048,Paka 1,Ranau,5.9577252,116.6394034,1030,3.06,117.0,0,0,0,True
S1049,Kibbas,Ranau,5.945148,116.6327509,1011,3.77,257.0,0,0,0,False
S1050,Pulutan,Ranau,5.9480847,116.5420322,1205,5.51,-163.0,0,0,0,False
S1053,Togudon Lama,Ranau,5.9458883,116.5351745,1117,6.21,-126.0,0,0,0,False
S1054,Himbaan,Ranau,5.9577048,116.5476671,1053,4.3,-28.0,1,0,0,False
S1073,Kampung Tiulon,Keningau,5.1234242,116.3860528,908,10.3,-83.0,0,0,0,False
S1074,Kampung Babason,Keningau,5.1381847,116.2829209,1923,0.88,0.0,0,0,0,True
S1076,Skim Bumburing,Keningau,5.4127509,116.2331743,2486,12.7,32.0,0,0,0,True
S1083,Kampung Tanah Merah,Keningau,5.3975112,116.1526828,1329,7.32,122.0,1,1,0,True
S1102,Bolouh,Pitas,6.8333174,117.1625517,1664,16.55,5.0,1,1,1,True
